epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,170,,,,,0.029325513169169426,4.674253463745117
0,170,,,0.013563049957156181,4.9158172607421875,,
1,341,,,,,0.0674486830830574,4.056842803955078
1,341,,,0.055718474090099335,4.308226585388184,,
2,512,,,,,0.09824047237634659,3.8545820713043213
2,512,,,0.1242668628692627,3.684779644012451,,
3,683,,,,,0.19354838132858276,3.2054357528686523
3,683,,,0.19776393473148346,3.2075068950653076,,
4,854,,,,,0.2507331371307373,3.0626935958862305
4,854,,,0.2653958797454834,2.8199636936187744,,
5,1025,,,,,0.2639296054840088,2.998457431793213
5,1025,,,0.3376099765300751,2.504887580871582,,
6,1196,,,,,0.2961876690387726,2.8943183422088623
6,1196,,,0.374450147151947,2.3026390075683594,,
7,1367,,,,,0.3196480870246887,2.8024590015411377
7,1367,,,0.4305351972579956,2.0690150260925293,,
8,1538,,,,,0.3343108594417572,2.7768971920013428
8,1538,,,0.46022728085517883,1.9407445192337036,,
9,1709,,,,,0.35923752188682556,2.6858646869659424
9,1709,,,0.4992668628692627,1.760925054550171,,
10,1710,0.3680351972579956,2.595329999923706,,,,
